Model,Seed,Family,internal_f1,external_f1
CharBiRNN,42,from scratch,0.956386,0.938612
CharBiRNN,7,from scratch,0.957671,0.946827
CharBiRNN,123,from scratch,0.95656,0.935409
CharBiRNN,2024,from scratch,0.958981,0.941511
CharBiRNN,777,from scratch,0.957278,0.935392
CharBiLSTM,42,from scratch,0.959525,0.947731
CharBiLSTM,7,from scratch,0.958576,0.945992
CharBiLSTM,123,from scratch,0.959299,0.945182
CharBiLSTM,2024,from scratch,0.957881,0.951669
CharBiLSTM,777,from scratch,0.959309,0.947368
CharBiGRU,42,from scratch,0.960913,0.942661
CharBiGRU,7,from scratch,0.96012,0.943807
CharBiGRU,123,from scratch,0.958008,0.94533
CharBiGRU,2024,from scratch,0.958323,0.945869
CharBiGRU,777,from scratch,0.959293,0.946827
CharTransformer,42,from scratch,0.956787,0.946582
CharTransformer,7,from scratch,0.955922,0.945807
CharTransformer,123,from scratch,0.95547,0.946163
CharTransformer,2024,from scratch,0.956386,0.949657
CharTransformer,777,from scratch,0.952185,0.948864
WordBiRNN,42,from scratch,0.929711,0.857437
WordBiRNN,7,from scratch,0.927629,0.853621
WordBiRNN,123,from scratch,0.935135,0.8508
WordBiRNN,2024,from scratch,0.934499,0.852459
WordBiRNN,777,from scratch,0.934668,0.851833
WordBiLSTM,42,from scratch,0.934025,0.850515
WordBiLSTM,7,from scratch,0.932978,0.852865
WordBiLSTM,123,from scratch,0.936065,0.852442
WordBiLSTM,2024,from scratch,0.934001,0.85332
WordBiLSTM,777,from scratch,0.934685,0.855527
WordBiGRU,42,from scratch,0.935153,0.854349
WordBiGRU,7,from scratch,0.933135,0.851852
WordBiGRU,123,from scratch,0.933903,0.849612
WordBiGRU,2024,from scratch,0.932551,0.855378
WordBiGRU,777,from scratch,0.932525,0.851414
WordTransformer,42,from scratch,0.938583,0.85406
WordTransformer,7,from scratch,0.936462,0.855819
WordTransformer,123,from scratch,0.934998,0.854962
WordTransformer,2024,from scratch,0.935668,0.85347
WordTransformer,777,from scratch,0.936601,0.858462
TF-IDF+SVM,42,classical,0.9628143224430928,0.9460390355912744
TF-IDF+LR,42,classical,0.9601606123345252,0.9439630271519353
TF-IDF+RF,42,classical,0.9178372137771792,0.9185360094451004
TF-IDF+SVM,7,classical,0.9628143224430928,0.9460390355912744
TF-IDF+LR,7,classical,0.9601606123345252,0.9439630271519353
TF-IDF+RF,7,classical,0.9194871794871796,0.9173553719008264
TF-IDF+SVM,123,classical,0.9628143224430928,0.9460390355912744
TF-IDF+LR,123,classical,0.9601606123345252,0.9439630271519353
TF-IDF+RF,123,classical,0.9171647066383908,0.9117997616209774
TF-IDF+SVM,2024,classical,0.9628143224430928,0.9460390355912744
TF-IDF+LR,2024,classical,0.9601606123345252,0.9439630271519353
TF-IDF+RF,2024,classical,0.923233738931006,0.9156908665105388
TF-IDF+SVM,777,classical,0.9628143224430928,0.9460390355912744
TF-IDF+LR,777,classical,0.9601606123345252,0.9439630271519353
TF-IDF+RF,777,classical,0.9201457707307718,0.9151943462897526
IndoBERT,42,pretrained,0.9580719299335364,0.9296740994854202
IndoBERT,7,pretrained,0.9585621567648528,0.9371757925072046
IndoBERT,123,pretrained,0.9571706277042704,0.9351100811123986
IndoBERT,2024,pretrained,0.9572991559862456,0.933874709976798
IndoBERT,777,pretrained,0.958016943834327,0.9337979094076656
mBERT,42,pretrained,0.9615096225943516,0.9393414211438474
mBERT,7,pretrained,0.9620676831535888,0.9357060849598164
mBERT,123,pretrained,0.960576621748668,0.9332559489262914
mBERT,2024,pretrained,0.9610503282275712,0.9412442396313364
mBERT,777,pretrained,0.9587602783048704,0.9267139479905436
XLM-R,42,pretrained,0.9616894038497475,0.9395667046750285
XLM-R,7,pretrained,0.9626633478531424,0.9337175792507204
XLM-R,123,pretrained,0.9606180516299228,0.940427993059572
XLM-R,2024,pretrained,0.9603562915568936,0.9371757925072046
XLM-R,777,pretrained,0.9630137840703548,0.9332566168009206
